art;Name;Descript;Cost;Unit;count;cat;sup;prod;photo
21684104;Лосьон для чистки ушей носа для собак и кошек;Средство безопасно очищает ушные раковины и нос, бережно удаляет корочки, серу, выделения. ;427;100мл;23;13;6;5;21684104.png
34971168;Миски для собак на подставке;Подставка для мисок для собак DOGGY S является лучшим решением для вашего питомца. ;1409;1750 мл;17;6;16;14;34971168.png
41359273;Корм для собак сухой с курицей Мистер Баффало;Корм для собак сухой для средних и крупных пород Mr. Buffalo ADULT с курицей премиум. Сухой корм для собак Мистер Баффало содержит оптимальное количество белков, жиров и углеводов, что делает корм для собак подходящим для средних и крупных пород. ;4436;14 кг;32;1;2;1;41359273.png
41457555;Корм для кошек стерилизованных сухой;для стерилизованных кошек и кастрированных котов, для кошек;346;400г;28;1;2;2;41457555.png
76289903;Когтеточка для кошки;Размер основания 40*30 см, размер верхней лежанки 40*30 см, общая высота 55 см. Высота столбика 50 см. Основание джутового столбика - прочный сосновый брусок. Материал лежанки - мягкий искусственный мех.;919;1 шт;3;12;12;10;76289903.png
79948186;Сухой корм для мелких собак для пищеварения; Эксперты PRO PLAN разработали сухие корма специально для собак с чувствительным пищеварением. ;581;700 г;32;1;1;14;79948186.png
87486541;Курица игрушка для собак и животных;кричащая курица, пищалка для собак курица;172;1 шт;19;2;5;4;87486541.png
87682829;Шлейка прогулочная с поводком для кошек;Шлейка для собак и кошек мелких и средних пород поможет Вам всегда быть спокойным за безопасность Вашего питомца.;221;1 шт;11;11;16;14;87682829.png
98487134;Пеленки для собак и кошек Mr.Fresh;Подстилки Mr.Fresh Expert Regular 60х60 см 24 шт в упаковке незаменимы для содержания в чистоте туалета и места кормления питомца, для комфортной перевозки, при посещении ветеринара, в период карантина во время вакцинации.;781;60х60 см 24 шт;23;14;3;3;98487134.png
105232371;Корм влажный для стерилизованных кошек рыба;Эксперты Pro Plan разработали влажный корм для стерилизованных кошек с учетом особых потребностей Вашего питомца.;2051;85 г 26шт;21;4;1;10;105232371.png
144365326;Влажный корм для собак Телятина  в соусе;Влажный полнорационный корм для собак с чувствительным пищеварением с телятиной и тыквой в соусе AlphaPet Superpremium 100г 1 упаковка;1370;15 шт;43;4;8;7;144365326.png
147596897;Корм для хомяков ;для повседневного кормления, для хомяков, для грызунов;269;900 гр;11;1;3;2;147596897.png
151118518;Ошейник для собак электронный дрессировочный;Ошейник для собак - идеальное решение для эффективной дрессировки и контроля вашего питомца.;1807;1 шт;15;8;14;12;151118518.png
153402124;Витамины для собак для шерсти;Независимо от породы – крупной, мелкой или средней, витамины играют важную роль в поддержании ее здоровья и благополучия.;333;150 мл;34;7;13;11;153402124.png
154744229;Мультивитаминное лакомство для шерсти кошек;Витамины для кошек МультиЛакомки Восхитительная шерсть — кормовая добавка для улучшения состояния кожи и шерсти. Витаминизированное лакомство МультиЛакомки — это прекрасное дополнение к ежедневному рациону кошки.;144;70 таблеток;9;7;19;16;154744229.png
155325540;Клетка для собак;Металлическая клетка размер N 2 подходит для содержания и перевозки домашних животных для собак мелких и средних пород, для кошек и для разных грызунов. ;2875;62х44х49;7;15;14;12;155325540.png
156278877;Феликс Двойная вкуснятина;Сухой корм Felix Двойная Вкуснятина для взрослых кошек, с мясом, Пакет, 3 кг. Любопытство вашего кота заложено природой!;980;3 кг;23;1;10;8;156278877.png
158074124;Лосьон для глаз для собак и кошек очищающий;Лосьон для глаз для собак и кошек очищающий представляет собой натуральное средство с ионами серебра и экстрактами трав, разработанное специально для ухода за глазами домашних питомцев. ;412;1 шт 100 мл;22;13;17;15;158074124.png
159874927;Влажный корм для котят Индейка нежные ломтики;Команда AlphaPet создает и производит полезные корма высшей категории качества Holistiс, давая возможность каждому владельцу быть уверенным в правильном выборе кормления для своего животного. ;903;15 шт;23;4;8;7;159874927.png
169881547;Клетка для собак и кошек большая в квартиру;Ищете просторное и удобное жилье для своего питомца? Большая двухэтажная клетка - это идеальное решение для кошек, собак малых и средних пород, крупных грызунов;2738;105х70х35;5;15;12;8;169881547.png
170076131;Витамины для кошек для шерсти;Питомец сильно линяет или его здоровье ухудшилось?Ищете качественные витамины для кошек для иммунитета? У нас есть отличное решение для вас! ;333;250 таблеток;56;7;5;4;170076131.png
173028971;Ошейник для собак средних и крупных пород;Нейлоновый ошейник для собак средних и крупных пород обеспечит комфорт вашему питомцу во время прогулок.;419;1 шт;44;8;13;11;173028971.png
177681148;Переноска для кошек большая;Переноска рюкзак для кошек и собак малых пород - это функциональный и практичный аксессуар для животных любых видов. ;1273;41x33x45;12;5;12;10;177681148.png
177965748;Влажный корм для кошек с говядиной и морковью;Влажный корм для кошек Purina One поддерживает здоровый обмен веществ и оптимальный вес питомца. ;843;26 шт по 75г;104;4;9;8;177965748.png
180021567;Влажный корм для котят с Курицей;Команда квалифицированных ветеринарных специалистов разработала влажный корм PURINA PRO PLAN HEALTHY START для здорового развития котенка. ;1883;26шт;19;4;1;8;180021567.png
180190918;Корм для собак влажный Паучи;Полнорационные консервированные корма для собак ВКУСМЯСИНА - это сочные мясные кусочки в ароматном соусе.;772;85 г 30 шт;10;4;6;5;180190918.png
188433865;Слинг для кошек и собак;Сумка переноска для животных – идеальный аксессуар для комфортной и безопасной перевозки ваших любимцев. ;952;75х40х25 до 7 кг;23;5;5;4;188433865.png
189840934;Миска для кошки и собак двойная белая;Эта регулируемая двойная миск а для кошек на подставке объемом 400 мл для собачек и котов - идеальное решение для ваших домашних животных! ;505;400 мл;23;6;16;14;189840934.png
207388443;Пробиотик FortiFlora для кошек;Пробиотик FortiFlora для кошек – ваш надежный помощник в поддержании здоровья и иммунитета вашего любимца. ;713;10 шт 1 гр;34;7;1;6;207388443.png
210960902;Корм для стерилизованных кошек сухой;Корм для кошек Pro Plan это продукт, который разработан с использованием самых высококачественных ингредиентов, чтобы удовлетворить даже самых требовательных питомцев.;1580;1 кг 500 г;20;1;1;5;210960902.png
211044139;Корм для стерилизованных кошек с курицей ;Корм сухой для кошек Purina Pro Plan Sterilised включает в себя специальную формулу, которая обеспечивает эффективную работу почек и правильный уровень кислотности мочи. Антиоксиданты укрепляют иммунитет взрослой кошки замедляют возрастные изменения.;2683;3 кг;17;1;1;1;;
214758654;Когтеточка для кошки напольная лежанка;Когтеточка для кошки сочетает в себе функциональность, безопасность и лаконичный дизайн для безопасных игр и отдыха домашних животных. ;249;1 шт;10;12;11;9;214758654.png
218123339;Тоннель для кошек большой;Универсальная кровать-туннель для кошек: Идеально подходит для комнатных кошек, предлагая уютное место для дремоты, игр, сна и даже игры в прятки.;1967;1 шт;23;2;6;5;218123339.png
219353452;Пеленка для собак многоразовая;Многоразовая пеленка - это удобное и практичное средство для тренировки питомца и поддержания чистоты вашего дома.;736;100х70;15;14;19;2;219353452.png
219962054;Лакомства для собак Микс;Предлагаем вашему вниманию натуральное и вкусное лакомство для собак - микс из говяжьей трахеи, бычьего корня и говяжьего легкого. ;1079;300г;23;9;6;5;219962054.png
221804692;Лосьон для ушей собак и кошек;Бережно удаляет загрязнения и выделения.Снимает зуд и раздражение.Снижает риск возникновения заболеваний ушей.;374;25 мл;21;13;6;5;221804692.png
223359997;Игрушка для кошек и собак мячик интерактивный;интерактивный мячик для котов, шарик для щенков, умный мячик с подсветкой;227;1 шт;91;2;4;3;223359997.png
237885006;Лежанка пушистая для кошек и собак;Уютная и мягкая лежанка для кошек и собак обеспечивает комфортное место для отдыха вашего питомца, создавая уют и спокойствие.;610;1 шт;0;3;7;6;237885006.png
249148037;Лежаки для кошек и собак крупных пород;Meowso заботится о здоровье домашних животных! Прямоугольная форма удобна тем, что ее легко разместить вдоль любой свободной стены или в углу комнаты.;2434;1 шт;2;3;6;5;249148037.png
250104391;Лосьон для чистки ушей собак и кошек;Лосьон для ушей разработан специально для ухода за ушами собак и кошек. Он мягко очищает и помогает поддерживать гигиену, устраняя накопившуюся грязь и излишки серы.;265;100 мл;25;13;13;11;250104391.png
251710899;Переноска для животных кошек и собак;Переноска для кота и собаки выполнена из прочных, но легких материалов, которые легко чистятся. Она подходит как для собак мелких пород, так и для более крупных животных.;1152;шт;12;5;14;11;251710899.png
262159566;Лакомство: легкое говяжье для собак;Сушеное говяжье легкое для собак — это натуральное и вкусное угощение, которое станет отличным дополнением к рациону вашего питомца. ;794;500 г;25;9;8;7;262159566.png
262898008;Поводок нейлоновый красный для собак;Вашему вниманию представлен поводок для средних пород собак нейлоновый с вращающимся карабином. ;661;10м*20мм;21;10;16;14;262898008.png
266658357;Сумка переноска для кошек и собак 2 в 1 весен;Ищете удобное решение для перевозки вашего питомца? Наша сумка переноска для кошек и собак станет незаменимым аксессуаром!;3371;до 10 кг;23;5;17;15;266658357.png
268694126;Поводок брезентовый усиленный для собак хаки;Вашему вниманию представлен поводок для средних и крупных пород собак брезентовый с мощным вертлюгом и карабином.;1881;20м*35мм;13;10;16;14;268694126.png
272887994;Одноразовые пеленки для животных;Пеленки для животных улучшенного качества с липучками — это одноразовые товары, предназначенные для собак и кошек.;733;70 штук 60х45;10;14;15;6;272887994.png
274863286;Клетка для собаки;Клетка для собак номер 2 двухдверная - подходит для содержания и перевозки собак средней величины, клетка станет настоящим вторым домом любимых питомцев. ;3268;60х42х52;10;15;16;7;274863286.png
316630648;Шлейка анатомическая для кошек с крыльями;Представляем вам стильную и удобную шлейку KINGDOM pets с милыми крылышками, созданную специально для прогулок с вашими любимыми кошками и маленькими собачками! ;370;1 шт;32;11;15;13;316630648.png
338471164;Поводок для собак мелких и средних пород;Поводок-рулетка для собак и домашних животных: идеальный аксессуар для комфортных и безопасных прогулок. ;517;5 м;13;10;16;6;338471164.png
355155012;Лакомства для собак мясо утки;Вкусняшки для ваших питомцев. Лакомства для собак Мясо утки на сыромятных кольцах - это вкусный и полезный способ побаловать своего четвероногого друга.;1097;500 г;32;9;6;5;355155012.png
